fuel,hour,value
Power,853,0.000156626
Power,854,0.000145952
Power,855,0.000154035
Power,856,0.000142843
Power,857,0.000142912
Power,858,0.000148335
Power,859,0.00014419
Power,860,0.000154726
Power,861,0.000163397
Power,862,0.000154484
Power,863,0.00014191
Power,864,0.000114585
Power,865,0.000106985
Power,866,0.000105051
Power,867,0.000103634
Power,868,9.63109E-05
Power,869,9.61382E-05
Power,870,9.85563E-05
Power,871,9.84872E-05
Power,872,0.000112063
Power,873,0.000122289
Power,874,0.000138006
Power,875,0.000153172
Power,876,0.000139665
Power,877,0.000155832
Power,878,0.000144639
Power,879,0.000151203
Power,880,0.000135623
Power,881,0.000134034
Power,882,0.000129163
Power,883,0.000133205
Power,884,0.000146608
Power,885,0.00013089
Power,886,0.000125052
Power,887,0.000110474
Power,888,0.000117176
Power,889,0.000117867
Power,890,0.000109369
Power,891,0.000100387
Power,892,9.64145E-05
Power,893,9.49291E-05
Power,894,8.79165E-05
Power,895,8.57056E-05
Power,896,8.64311E-05
Power,897,0.000102494
Power,898,0.000110474
Power,899,9.72436E-05
Power,900,0.000118178
Power,901,0.000133481
Power,902,0.000103842
Power,903,0.000136383
Power,904,0.000150235
Power,905,0.000132652
Power,906,0.000140735
Power,907,0.000137765
Power,908,0.000136694
Power,909,0.000142705
Power,910,0.000141634
Power,911,0.000129543
Power,912,6.97805E-06
Power,913,9.36509E-05
Power,914,8.47384E-05
Power,915,8.4082E-05
Power,916,7.8244E-05
Power,917,7.23713E-05
Power,918,7.07823E-05
Power,919,8.64656E-05
Power,920,0.000112754
Power,921,0.000124154
Power,922,0.000136383
Power,923,0.000141219
Power,924,0.000134379
Power,925,0.000154761
Power,926,0.000131547
Power,927,0.000122081
Power,928,0.000144708
Power,929,0.000125156
Power,930,0.000122254
Power,931,8.65347E-05
Power,932,0.000143085
Power,933,1.22289E-05
Power,934,0.000120181
Power,935,0.00011766
Power,936,0.000108954
Power,937,9.06455E-05
Power,938,8.9471E-05
Power,939,7.63785E-05
Power,940,7.92457E-05
Power,941,8.36675E-05
Power,942,8.03166E-05
Power,943,8.67074E-05
Power,944,0.000104291
Power,945,7.70349E-06
Power,946,0.000127298
Power,947,0.00013393
Power,948,0.000140321
Power,949,0.000110543
