Hour,Storage,Fuel,Value
125,LeadAcidBattery,Power,329.0688432930514
125,LeadAcidBattery,Diesel,0.0
126,LeadAcidBattery,Power,329.0688432930514
126,LeadAcidBattery,Diesel,0.0
127,LeadAcidBattery,Power,329.0688432930514
127,LeadAcidBattery,Diesel,0.0
128,LeadAcidBattery,Power,348.26785944233137
128,LeadAcidBattery,Diesel,0.0
129,LeadAcidBattery,Power,364.4690868143314
129,LeadAcidBattery,Diesel,0.0
130,LeadAcidBattery,Power,352.6602435673617
130,LeadAcidBattery,Diesel,0.0
131,LeadAcidBattery,Power,364.2722363839617
131,LeadAcidBattery,Diesel,0.0
132,LeadAcidBattery,Power,386.35191484282166
132,LeadAcidBattery,Diesel,0.0
133,LeadAcidBattery,Power,412.41922540354165
133,LeadAcidBattery,Diesel,0.0
134,LeadAcidBattery,Power,439.41984734128164
134,LeadAcidBattery,Diesel,0.0
135,LeadAcidBattery,Power,439.41984734128164
135,LeadAcidBattery,Diesel,0.0
136,LeadAcidBattery,Power,321.2819465946852
136,LeadAcidBattery,Diesel,0.0
137,LeadAcidBattery,Power,319.1912418583216
137,LeadAcidBattery,Diesel,0.0
138,LeadAcidBattery,Power,323.48794933470157
138,LeadAcidBattery,Diesel,0.0
139,LeadAcidBattery,Power,321.94251809682277
139,LeadAcidBattery,Diesel,0.0
140,LeadAcidBattery,Power,331.56533029692275
140,LeadAcidBattery,Diesel,0.0
141,LeadAcidBattery,Power,339.1949660893828
141,LeadAcidBattery,Diesel,0.0
142,LeadAcidBattery,Power,343.6631171675428
142,LeadAcidBattery,Diesel,0.0
143,LeadAcidBattery,Power,343.52666734178524
143,LeadAcidBattery,Diesel,0.0
144,LeadAcidBattery,Power,351.49324175978523
144,LeadAcidBattery,Diesel,0.0
145,LeadAcidBattery,Power,363.8713670577852
145,LeadAcidBattery,Diesel,0.0
146,LeadAcidBattery,Power,363.8713670577852
146,LeadAcidBattery,Diesel,0.0
147,LeadAcidBattery,Power,383.2125390177852
147,LeadAcidBattery,Diesel,0.0
148,LeadAcidBattery,Power,402.9114997497852
148,LeadAcidBattery,Diesel,0.0
149,LeadAcidBattery,Power,420.9413548677852
149,LeadAcidBattery,Diesel,0.0
150,LeadAcidBattery,Power,438.65339840906523
150,LeadAcidBattery,Diesel,0.0
151,LeadAcidBattery,Power,452.81182440506524
151,LeadAcidBattery,Diesel,0.0
152,LeadAcidBattery,Power,464.20342829906525
152,LeadAcidBattery,Diesel,0.0
153,LeadAcidBattery,Power,470.90237066588526
153,LeadAcidBattery,Diesel,0.0
154,LeadAcidBattery,Power,421.607339892082
154,LeadAcidBattery,Diesel,0.0
155,LeadAcidBattery,Power,428.11759548128197
155,LeadAcidBattery,Diesel,0.0
156,LeadAcidBattery,Power,438.06770809790197
156,LeadAcidBattery,Diesel,0.0
157,LeadAcidBattery,Power,453.14745700982195
157,LeadAcidBattery,Diesel,0.0
158,LeadAcidBattery,Power,453.14745700982195
158,LeadAcidBattery,Diesel,0.0
159,LeadAcidBattery,Power,464.68299013388196
159,LeadAcidBattery,Diesel,0.0
160,LeadAcidBattery,Power,470.636251964002
160,LeadAcidBattery,Diesel,0.0
161,LeadAcidBattery,Power,481.750625290762
161,LeadAcidBattery,Diesel,0.0
162,LeadAcidBattery,Power,437.3464000184739
162,LeadAcidBattery,Diesel,0.0
163,LeadAcidBattery,Power,441.4449358209339
163,LeadAcidBattery,Diesel,0.0
164,LeadAcidBattery,Power,444.6327276125139
164,LeadAcidBattery,Diesel,0.0
165,LeadAcidBattery,Power,450.5462708967339
165,LeadAcidBattery,Diesel,0.0
166,LeadAcidBattery,Power,461.6079002284539
166,LeadAcidBattery,Diesel,0.0
167,LeadAcidBattery,Power,472.16800760319387
167,LeadAcidBattery,Diesel,0.0
168,LeadAcidBattery,Power,472.16800760319387
168,LeadAcidBattery,Diesel,0.0
169,LeadAcidBattery,Power,438.9432697672694
169,LeadAcidBattery,Diesel,0.0
170,LeadAcidBattery,Power,454.38005926726936
170,LeadAcidBattery,Diesel,0.0
171,LeadAcidBattery,Power,470.43865087654933
171,LeadAcidBattery,Diesel,0.0
