Hour,Technology,Fuel,Value
44,ElectricHeater,Power,0.0
44,ElectricHeater,Heat,0.02255
44,ElectricHeater,Diesel,0.0
44,HydroPower,Power,0.18892139522443457
44,HydroPower,Heat,0.0
44,HydroPower,Diesel,0.0
44,DieselGenerator,Power,0.0
44,DieselGenerator,Heat,0.0
44,DieselGenerator,Diesel,0.0
45,SolarPV,Power,0.0
45,SolarPV,Heat,0.0
45,SolarPV,Diesel,0.0
45,WindOnshore,Power,0.022102192109091524
45,WindOnshore,Heat,0.0
45,WindOnshore,Diesel,0.0
45,ElectricHeater,Power,0.0
45,ElectricHeater,Heat,0.027000000000000003
45,ElectricHeater,Diesel,0.0
45,HydroPower,Power,0.1341113015275443
45,HydroPower,Heat,0.0
45,HydroPower,Diesel,0.0
45,DieselGenerator,Power,0.0
45,DieselGenerator,Heat,0.0
45,DieselGenerator,Diesel,0.0
46,SolarPV,Power,0.0
46,SolarPV,Heat,0.0
46,SolarPV,Diesel,0.0
46,WindOnshore,Power,0.023149620839001895
46,WindOnshore,Heat,0.0
46,WindOnshore,Diesel,0.0
46,ElectricHeater,Power,0.0
46,ElectricHeater,Heat,0.0245
46,ElectricHeater,Diesel,0.0
46,HydroPower,Power,0.22936717612443172
46,HydroPower,Heat,0.0
46,HydroPower,Diesel,0.0
46,DieselGenerator,Power,0.0
46,DieselGenerator,Heat,0.0
46,DieselGenerator,Diesel,0.0
47,SolarPV,Power,0.0
47,SolarPV,Heat,0.0
47,SolarPV,Diesel,0.0
47,WindOnshore,Power,0.01755227138716317
47,WindOnshore,Heat,0.0
47,WindOnshore,Diesel,0.0
47,ElectricHeater,Power,0.0
47,ElectricHeater,Heat,0.0163
47,ElectricHeater,Diesel,0.0
47,HydroPower,Power,0.0117215728394265
47,HydroPower,Heat,0.0
47,HydroPower,Diesel,0.0
47,DieselGenerator,Power,0.0
47,DieselGenerator,Heat,0.0
47,DieselGenerator,Diesel,0.0
48,SolarPV,Power,0.0
48,SolarPV,Heat,0.0
48,SolarPV,Diesel,0.0
48,WindOnshore,Power,0.012430289514852005
48,WindOnshore,Heat,0.0
48,WindOnshore,Diesel,0.0
48,ElectricHeater,Power,0.0
48,ElectricHeater,Heat,0.0078
48,ElectricHeater,Diesel,0.0
48,HydroPower,Power,0.13220414701894515
48,HydroPower,Heat,0.0
48,HydroPower,Diesel,0.0
48,DieselGenerator,Power,0.0
48,DieselGenerator,Heat,0.0
48,DieselGenerator,Diesel,0.0
49,SolarPV,Power,0.0
49,SolarPV,Heat,0.0
49,SolarPV,Diesel,0.0
49,WindOnshore,Power,0.0077141200265939906
49,WindOnshore,Heat,0.0
49,WindOnshore,Diesel,0.0
49,ElectricHeater,Power,0.0
49,ElectricHeater,Heat,0.00485
49,ElectricHeater,Diesel,0.0
49,HydroPower,Power,0.08628981979849179
49,HydroPower,Heat,0.0
49,HydroPower,Diesel,0.0
49,DieselGenerator,Power,0.0
49,DieselGenerator,Heat,0.0
49,DieselGenerator,Diesel,0.0
50,SolarPV,Power,0.0
50,SolarPV,Heat,0.0
50,SolarPV,Diesel,0.0
50,WindOnshore,Power,0.0017970241420542186
50,WindOnshore,Heat,0.0
50,WindOnshore,Diesel,0.0
50,ElectricHeater,Power,0.0
50,ElectricHeater,Heat,0.00485
50,ElectricHeater,Diesel,0.0
50,HydroPower,Power,0.10231239222152992
50,HydroPower,Heat,0.0
50,HydroPower,Diesel,0.0
50,DieselGenerator,Power,0.0
50,DieselGenerator,Heat,0.0
50,DieselGenerator,Diesel,0.0
51,SolarPV,Power,0.0
51,SolarPV,Heat,0.0
51,SolarPV,Diesel,0.0
51,WindOnshore,Power,0.001305156307688379
51,WindOnshore,Heat,0.0
51,WindOnshore,Diesel,0.0
51,ElectricHeater,Power,0.0
51,ElectricHeater,Heat,0.00485
51,ElectricHeater,Diesel,0.0
51,HydroPower,Power,0.23950928683512615
51,HydroPower,Heat,0.0
51,HydroPower,Diesel,0.0
51,DieselGenerator,Power,0.0
51,DieselGenerator,Heat,0.0
51,DieselGenerator,Diesel,0.0
52,SolarPV,Power,0.0
52,SolarPV,Heat,0.0
52,SolarPV,Diesel,0.0
52,WindOnshore,Power,8.514356275557975e-05
52,WindOnshore,Heat,0.0
52,WindOnshore,Diesel,0.0
52,ElectricHeater,Power,0.0
52,ElectricHeater,Heat,0.00485
52,ElectricHeater,Diesel,0.0
52,HydroPower,Power,0.027055454504899847
52,HydroPower,Heat,0.0
52,HydroPower,Diesel,0.0
52,DieselGenerator,Power,0.0
52,DieselGenerator,Heat,0.0
52,DieselGenerator,Diesel,0.0
53,SolarPV,Power,0.0
53,SolarPV,Heat,0.0
53,SolarPV,Diesel,0.0
53,WindOnshore,Power,0.0012528299121375582
