Hour,Technology,Value
40,ElectricStove,0.004490995578
40,ElectricVehicle,0.0
40,WoodBurner,0.30001728248000004
41,SolarPV,0.0
41,WindOnshore,0.0
41,HydroPower,1.10656
41,DieselGenerator,0.0
41,Tidal,0.0
41,DieselImport,0.0
41,Forest,0.29902870018
41,ElectricStove,0.00312761049
41,ElectricVehicle,10.7131505778
41,WoodBurner,0.29902870018
42,SolarPV,0.0
42,WindOnshore,0.0
42,HydroPower,1.10656
42,DieselGenerator,0.0
42,Tidal,0.0
42,DieselImport,0.0
42,Forest,0.28625854293999997
42,ElectricStove,0.013784518770000002
42,ElectricVehicle,0.0
42,WoodBurner,0.28625854293999997
43,SolarPV,0.0
43,WindOnshore,0.0
43,HydroPower,1.10656
43,DieselGenerator,0.0
43,Tidal,0.0
43,DieselImport,0.0
43,Forest,0.36544980035999997
43,ElectricStove,0.026642270699999998
43,ElectricVehicle,0.0
43,WoodBurner,0.36544980035999997
44,SolarPV,0.0
44,WindOnshore,0.0
44,HydroPower,1.10656
44,DieselGenerator,0.0
44,Tidal,0.0
44,DieselImport,0.0
44,Forest,0.373335198
44,ElectricStove,0.026642270699999998
44,ElectricVehicle,0.0
44,WoodBurner,0.373335198
45,SolarPV,0.0
45,WindOnshore,0.0
45,HydroPower,1.10656
45,DieselGenerator,0.0
45,Tidal,0.0
45,DieselImport,0.0
45,Forest,0.3782199576
45,ElectricStove,0.025480898934000004
45,ElectricVehicle,10.7131505778
45,WoodBurner,0.3782199576
46,SolarPV,0.0
46,WindOnshore,0.0
46,HydroPower,1.0919999999999999
46,DieselGenerator,0.0
46,Tidal,0.0
46,DieselImport,0.0
46,Forest,0.37220705114
46,ElectricStove,0.011818280046
46,ElectricVehicle,0.0
46,WoodBurner,0.37220705114
47,SolarPV,0.0
47,WindOnshore,0.0
47,HydroPower,1.0919999999999999
47,DieselGenerator,0.0
47,Tidal,0.0
47,DieselImport,0.0
47,Forest,0.24680829398
47,ElectricStove,0.00532845414
47,ElectricVehicle,0.0
47,WoodBurner,0.24680829398
48,SolarPV,0.0
48,WindOnshore,0.0
48,HydroPower,1.0919999999999999
48,DieselGenerator,0.0
48,Tidal,0.0
48,DieselImport,0.0
48,Forest,0.24557547370000002
48,ElectricStove,0.0
48,ElectricVehicle,0.0
48,WoodBurner,0.24557547370000002
49,SolarPV,0.0
49,WindOnshore,0.0
49,HydroPower,1.0919999999999999
49,DieselGenerator,0.0
49,Tidal,0.0
49,DieselImport,0.0
49,Forest,0.12244464063999999
49,ElectricStove,0.0
49,ElectricVehicle,0.0
49,WoodBurner,0.12244464063999999
50,SolarPV,0.0
50,WindOnshore,0.0
50,HydroPower,1.07744
50,DieselGenerator,0.0
50,Tidal,0.0
50,DieselImport,0.0
50,Forest,0.13278404846
50,ElectricStove,0.0
50,ElectricVehicle,0.0
50,WoodBurner,0.13278404846
51,SolarPV,0.0
51,WindOnshore,0.0
51,HydroPower,1.07744
51,DieselGenerator,0.0
51,Tidal,0.0
51,DieselImport,0.0
51,Forest,0.12218877228
51,ElectricStove,0.0
51,ElectricVehicle,0.0
51,WoodBurner,0.12218877228
52,SolarPV,0.0
52,WindOnshore,0.0
52,HydroPower,1.07744
52,DieselGenerator,0.0
52,Tidal,0.0
52,DieselImport,0.0
52,Forest,0.12447995714
52,ElectricStove,0.0
52,ElectricVehicle,0.0
52,WoodBurner,0.12447995714
53,SolarPV,0.0
53,WindOnshore,0.0
53,HydroPower,1.0628799999999998
53,DieselGenerator,0.0
53,Tidal,0.0
53,DieselImport,0.0
53,Forest,0.18278305208
53,ElectricStove,0.0
53,ElectricVehicle,0.0
53,WoodBurner,0.18278305208
54,SolarPV,0.0
54,WindOnshore,0.0
54,HydroPower,1.0628799999999998
54,DieselGenerator,0.0
54,Tidal,0.0
54,DieselImport,0.0
54,Forest,0.1787007887
54,ElectricStove,0.00283537851
54,ElectricVehicle,0.0
54,WoodBurner,0.1787007887
55,SolarPV,0.0
55,WindOnshore,0.0
55,HydroPower,1.0628799999999998
55,DieselGenerator,0.0
55,Tidal,0.0
55,DieselImport,0.0
55,Forest,0.17551406458
55,ElectricStove,0.0052812964559999995
55,ElectricVehicle,0.0
55,WoodBurner,0.17551406458
56,SolarPV,0.0
56,WindOnshore,0.0
