Hour,Fuel,Value
116,Diesel,30000253.0
116,FireWood,19999998.0
116,Gas,105499989.45
117,Diesel,30000253.0
117,FireWood,19999998.0
117,Gas,105499989.45
118,Diesel,30000253.0
118,FireWood,19999998.0
118,Gas,105499989.45
119,Diesel,30000253.0
119,FireWood,19999998.0
119,Gas,105499989.45
120,Diesel,30000253.0
120,FireWood,19999998.0
120,Gas,105499989.45
121,Diesel,30000253.0
121,FireWood,19999998.0
121,Gas,105499989.45
122,Diesel,30000253.0
122,FireWood,19999998.0
122,Gas,105499989.45
123,Diesel,30000253.0
123,FireWood,19999998.0
123,Gas,105499989.45
124,Diesel,30000253.0
124,FireWood,19999998.0
124,Gas,105499989.45
125,Diesel,30000253.0
125,FireWood,19999998.0
125,Gas,105499989.45
126,Diesel,30000253.0
126,FireWood,19999998.0
126,Gas,105499989.45
127,Diesel,30000253.0
127,FireWood,19999998.0
127,Gas,105499989.45
128,Diesel,30000253.0
128,FireWood,19999998.0
128,Gas,105499989.45
129,Diesel,30000253.0
129,FireWood,19999998.0
129,Gas,105499989.45
130,Diesel,30000253.0
130,FireWood,19999998.0
130,Gas,105499989.45
131,Diesel,30000253.0
131,FireWood,19999998.0
131,Gas,105499989.45
132,Diesel,30000253.0
132,FireWood,19999998.0
132,Gas,105499989.45
133,Diesel,30000253.0
133,FireWood,19999998.0
133,Gas,105499989.45
134,Diesel,30000253.0
134,FireWood,19999998.0
134,Gas,105499989.45
135,Diesel,30000253.0
135,FireWood,19999998.0
135,Gas,105499989.45
136,Diesel,30000253.0
136,FireWood,19999998.0
136,Gas,105499989.45
137,Diesel,30000253.0
137,FireWood,19999998.0
137,Gas,105499989.45
138,Diesel,30000253.0
138,FireWood,19999998.0
138,Gas,105499989.45
139,Diesel,30000253.0
139,FireWood,19999998.0
139,Gas,105499989.45
140,Diesel,30000253.0
140,FireWood,19999998.0
140,Gas,105499989.45
141,Diesel,30000253.0
141,FireWood,19999998.0
141,Gas,105499989.45
142,Diesel,30000253.0
142,FireWood,19999998.0
142,Gas,105499989.45
143,Diesel,30000253.0
143,FireWood,19999998.0
143,Gas,105499989.45
144,Diesel,30000253.0
144,FireWood,19999998.0
144,Gas,105499989.45
145,Diesel,30000253.0
145,FireWood,19999998.0
145,Gas,105499989.45
146,Diesel,30000253.0
146,FireWood,19999998.0
146,Gas,105499989.45
147,Diesel,30000253.0
147,FireWood,19999998.0
147,Gas,105499989.45
148,Diesel,30000253.0
148,FireWood,19999998.0
148,Gas,105499989.45
149,Diesel,30000253.0
149,FireWood,19999998.0
149,Gas,105499989.45
150,Diesel,30000253.0
150,FireWood,19999998.0
150,Gas,105499989.45
151,Diesel,30000253.0
151,FireWood,19999998.0
151,Gas,105499989.45
152,Diesel,30000253.0
152,FireWood,19999998.0
152,Gas,105499989.45
153,Diesel,30000253.0
153,FireWood,19999998.0
153,Gas,105499989.45
154,Diesel,30000253.0
154,FireWood,19999998.0
154,Gas,105499989.45
155,Diesel,30000253.0
155,FireWood,19999998.0
155,Gas,105499989.45
156,Diesel,30000253.0
156,FireWood,19999998.0
156,Gas,105499989.45
157,Diesel,30000253.0
157,FireWood,19999998.0
157,Gas,105499989.45
158,Diesel,30000253.0
158,FireWood,19999998.0
158,Gas,105499989.45
159,Diesel,30000253.0
159,FireWood,19999998.0
159,Gas,105499989.45
160,Diesel,30000253.0
160,FireWood,19999998.0
160,Gas,105499989.45
161,Diesel,30000253.0
161,FireWood,19999998.0
161,Gas,105499989.45
162,Diesel,30000253.0
162,FireWood,19999998.0
162,Gas,105499989.45
163,Diesel,30000253.0
163,FireWood,19999998.0
163,Gas,105499989.45
164,Diesel,30000253.0
164,FireWood,19999998.0
164,Gas,105499989.45
165,Diesel,30000253.0
165,FireWood,19999998.0
165,Gas,105499989.45
166,Diesel,30000253.0
166,FireWood,19999998.0
166,Gas,105499989.45
167,Diesel,30000253.0
167,FireWood,19999998.0
167,Gas,105499989.45
168,Diesel,30000253.0
168,FireWood,19999998.0
168,Gas,105499989.45
169,Diesel,30000253.0
169,FireWood,19999998.0
169,Gas,105499989.45
170,Diesel,30000253.0
170,FireWood,19999998.0
170,Gas,105499989.45
171,Diesel,30000253.0
171,FireWood,19999998.0
171,Gas,105499989.45
172,Diesel,30000253.0
172,FireWood,19999998.0
172,Gas,105499989.45
173,Diesel,30000253.0
173,FireWood,19999998.0
173,Gas,105499989.45
174,Diesel,30000253.0
174,FireWood,19999998.0
174,Gas,105499989.45
175,Diesel,30000253.0
175,FireWood,19999998.0
175,Gas,105499989.45
176,Diesel,30000253.0
176,FireWood,19999998.0
176,Gas,105499989.45
177,Diesel,30000253.0
177,FireWood,19999998.0
177,Gas,105499989.45
178,Diesel,30000253.0
178,FireWood,19999998.0
178,Gas,105499989.45
179,Diesel,30000253.0
179,FireWood,19999998.0
179,Gas,105499989.45
180,Diesel,30000253.0
180,FireWood,19999998.0
180,Gas,105499989.45
181,Diesel,30000253.0
181,FireWood,19999998.0
181,Gas,105499989.45
182,Diesel,30000253.0
182,FireWood,19999998.0
182,Gas,105499989.45
183,Diesel,30000253.0
183,FireWood,19999998.0
183,Gas,105499989.45
184,Diesel,30000253.0
184,FireWood,19999998.0
184,Gas,105499989.45
185,Diesel,30000253.0
185,FireWood,19999998.0
185,Gas,105499989.45
186,Diesel,30000253.0
186,FireWood,19999998.0
186,Gas,105499989.45
187,Diesel,30000253.0
187,FireWood,19999998.0
187,Gas,105499989.45
188,Diesel,30000253.0
188,FireWood,19999998.0
188,Gas,105499989.45
