Year,Hour,Fuel,Value
2026,59,Heat,-0.0
2026,59,Mobility,-0.0
2026,59,Cooking,-0.0
2026,59,Diesel,-0.0
2026,59,FireWood,-0.0
2026,60,Power,-0.0
2026,60,Heat,-0.0
2026,60,Mobility,-0.0
2026,60,Cooking,-0.0
2026,60,Diesel,-0.0
2026,60,FireWood,-0.0
2026,61,Power,-0.0
2026,61,Heat,-0.0
2026,61,Mobility,-0.0
2026,61,Cooking,-0.0
2026,61,Diesel,-0.0
2026,61,FireWood,-0.0
2026,62,Power,-0.0
2026,62,Heat,-0.0
2026,62,Mobility,-0.0
2026,62,Cooking,-0.0
2026,62,Diesel,-0.0
2026,62,FireWood,-0.0
2026,63,Power,-0.0
2026,63,Heat,-0.0
2026,63,Mobility,-0.0
2026,63,Cooking,-0.0
2026,63,Diesel,-0.0
2026,63,FireWood,-0.0
2026,64,Power,-0.0
2026,64,Heat,-0.0
2026,64,Mobility,-0.0
2026,64,Cooking,-0.0
2026,64,Diesel,-0.0
2026,64,FireWood,-0.0
2026,65,Power,-0.0
2026,65,Heat,-0.0
2026,65,Mobility,-0.0
2026,65,Cooking,-0.0
2026,65,Diesel,-0.0
2026,65,FireWood,-0.0
2026,66,Power,-0.0
2026,66,Heat,-0.0
2026,66,Mobility,-0.0
2026,66,Cooking,-0.0
2026,66,Diesel,-0.0
2026,66,FireWood,-0.0
2026,67,Power,-0.0
2026,67,Heat,-0.0
2026,67,Mobility,-0.0
2026,67,Cooking,-0.0
2026,67,Diesel,-0.0
2026,67,FireWood,-0.0
2026,68,Power,-0.0
2026,68,Heat,-0.0
2026,68,Mobility,-0.0
2026,68,Cooking,-0.0
2026,68,Diesel,-0.0
2026,68,FireWood,-0.0
2026,69,Power,-0.0
2026,69,Heat,-0.0
2026,69,Mobility,-0.0
2026,69,Cooking,-0.0
2026,69,Diesel,-0.0
2026,69,FireWood,-0.0
2026,70,Power,-0.0
2026,70,Heat,-0.0
2026,70,Mobility,-0.0
2026,70,Cooking,-0.0
