fuel,hour,value
Power,475,0.00012
Power,476,0.00012
Power,477,0.00012
Power,478,0.00012
Power,479,0.0001
Power,480,0.0001
Power,481,0.0001
Power,482,0.0001
Power,483,0.0001
Power,484,0.00009
Power,485,0.00009
Power,486,0.00009
Power,487,0.00009
Power,488,0.00011
Power,489,0.00011
Power,490,0.00012
Power,491,0.00013
Power,492,0.00014
Power,493,0.00015
Power,494,0.00012
Power,495,0.00013
Power,496,0.00013
Power,497,0.00013
Power,498,0.00013
Power,499,0.00015
Power,500,0.00014
Power,501,0.00013
Power,502,0.00013
Power,503,0.00012
Power,504,0.00012
Power,505,0.0001
Power,506,0.00009
Power,507,0.00009
Power,508,0.00009
Power,509,0.00009
Power,510,0.00009
Power,511,0.00009
Power,512,0.0001
Power,513,0.00013
Power,514,0.00013
Power,515,0.00013
Power,516,0.00015
Power,517,0.00013
Power,518,0.00012
Power,519,0.00012
Power,520,0.00011
Power,521,0.00012
Power,522,0.00012
Power,523,0.00015
Power,524,0.00015
Power,525,0.00013
Power,526,0.00012
Power,527,0.00011
Power,528,0.0001
Power,529,0.0001
Power,530,0.0001
Power,531,0.00009
Power,532,0.00009
Power,533,0.00009
Power,534,0.00009
Power,535,0.00009
Power,536,0.00009
Power,537,0.0001
Power,538,0.0001
Power,539,0.00011
Power,540,0.00011
Power,541,0.00011
Power,542,0.00012
Power,543,0.0001
Power,544,0.00011
Power,545,0.00011
Power,546,0.00012
Power,547,0.00012
Power,548,0.00012
Power,549,0.0001
Power,550,0.00011
Power,551,0.0001
Power,552,0.00009
Power,553,0.00008
Power,554,0.00007
Power,555,0.00007
Power,556,0.00007
Power,557,0.00007
Power,558,0.00007
Power,559,0.00007
Power,560,0.00008
Power,561,0.00009
Power,562,0.0001
Power,563,0.00011
Power,564,0.00011
Power,565,0.00011
Power,566,0.00011
Power,567,0.00012
Power,568,0.00012
Power,569,0.00012
Power,570,0.00011
Power,571,0.00012
Power,572,0.00013
Power,573,0.00012
Power,574,0.00012
Power,575,0.00012
Power,576,0.00009
Power,577,0.00007
Power,578,0.00007
Power,579,0.00006
Power,580,0.00006
Power,581,0.00006
Power,582,0.00006
Power,583,0.00007
Power,584,0.00009
Power,585,0.0001
Power,586,0.00011
Power,587,0.00011
Power,588,0.00013
Power,589,0.00013
Power,590,0.00013
Power,591,0.00013
Power,592,0.00013
Power,593,0.00012
Power,594,0.00014
Power,595,0.00016
Power,596,0.00016
Power,597,0.00014
Power,598,0.00013
Power,599,0.00013
Power,600,0.00011
Power,601,0.0001
Power,602,0.00009
Power,603,0.00009
Power,604,0.00009
Power,605,0.00008
Power,606,0.00009
Power,607,0.00009
Power,608,0.00012
Power,609,0.00012
Power,610,0.00014
Power,611,0.00016
Power,612,0.00015
Power,613,0.00014
Power,614,0.00015
Power,615,0.00013
Power,616,0.00013
Power,617,0.0001
Power,618,0.00014
Power,619,0.00014
Power,620,0.00016
Power,621,0.00015
Power,622,0.00013
Power,623,0.00013
Power,624,0.00011
Power,625,0.0001
Power,626,0.00009
Power,627,0.00009
Power,628,0.00008
Power,629,0.00008
Power,630,0.00008
Power,631,0.00009
Power,632,0.0001
Power,633,0.00012
Power,634,0.00012
Power,635,0.00012
Power,636,0.00012
Power,637,0.00013
Power,638,0.00014
