Hour,Fuel,Value
69,FireWood,-0.0
69,Gas,-0.0
70,Power,-0.0
70,Heat,-0.0
70,Mobility,-0.0
70,Cooking,-0.0
70,Diesel,-0.0
70,FireWood,-0.0
70,Gas,-0.0
71,Power,-0.0
71,Heat,-0.0
71,Mobility,-0.0
71,Cooking,-0.0
71,Diesel,-0.0
71,FireWood,-0.0
71,Gas,-0.0
72,Power,-0.0
72,Heat,-0.0
72,Mobility,-0.0
72,Cooking,-0.0
72,Diesel,-0.0
72,FireWood,-0.0
72,Gas,-0.0
73,Power,-0.0
73,Heat,-0.0
73,Mobility,-0.0
73,Cooking,-0.0
73,Diesel,-0.0
73,FireWood,-0.0
73,Gas,-0.0
74,Power,-0.0
74,Heat,-0.0
74,Mobility,-0.0
74,Cooking,-0.0
74,Diesel,-0.0
74,FireWood,-0.0
74,Gas,-0.0
75,Power,-0.0
75,Heat,-0.0
75,Mobility,-0.0
75,Cooking,-0.0
75,Diesel,-0.0
75,FireWood,-0.0
75,Gas,-0.0
76,Power,-0.0
76,Heat,-0.0
76,Mobility,-0.0
76,Cooking,-0.0
76,Diesel,-0.0
76,FireWood,-0.0
76,Gas,-0.0
77,Power,-0.0
77,Heat,-0.0
77,Mobility,-0.0
77,Cooking,-0.0
77,Diesel,-0.0
77,FireWood,-0.0
77,Gas,-0.0
78,Power,-0.0
78,Heat,-0.0
78,Mobility,-0.0
78,Cooking,-0.0
78,Diesel,-0.0
78,FireWood,-0.0
78,Gas,-0.0
79,Power,-0.0
79,Heat,-0.0
79,Mobility,-0.0
79,Cooking,-0.0
79,Diesel,-0.0
79,FireWood,-0.0
79,Gas,-0.0
80,Power,-0.0
80,Heat,-0.0
80,Mobility,-0.0
80,Cooking,-0.0
80,Diesel,-0.0
80,FireWood,-0.0
80,Gas,-0.0
81,Power,-0.0
81,Heat,-0.0
81,Mobility,-0.0
81,Cooking,-0.0
81,Diesel,-0.0
81,FireWood,-0.0
81,Gas,-0.0
82,Power,-0.0
82,Heat,-0.0
82,Mobility,-0.0
82,Cooking,-0.0
82,Diesel,-0.0
82,FireWood,-0.0
82,Gas,-0.0
83,Power,-0.0
83,Heat,-0.0
83,Mobility,-0.0
83,Cooking,-0.0
83,Diesel,-0.0
83,FireWood,-0.0
83,Gas,-0.0
84,Power,-0.0
84,Heat,-0.0
84,Mobility,-0.0
84,Cooking,-0.0
84,Diesel,-0.0
84,FireWood,-0.0
84,Gas,-0.0
85,Power,-0.0
85,Heat,-0.0
85,Mobility,-0.0
85,Cooking,-0.0
85,Diesel,-0.0
85,FireWood,-0.0
85,Gas,-0.0
86,Power,-0.0
86,Heat,-0.0
86,Mobility,-0.0
86,Cooking,-0.0
86,Diesel,-0.0
86,FireWood,-0.0
86,Gas,-0.0
87,Power,-0.0
87,Heat,-0.0
87,Mobility,-0.0
87,Cooking,-0.0
87,Diesel,-0.0
87,FireWood,-0.0
87,Gas,-0.0
88,Power,-0.0
88,Heat,-0.0
88,Mobility,-0.0
88,Cooking,-0.0
88,Diesel,-0.0
88,FireWood,-0.0
88,Gas,-0.0
89,Power,-0.0
89,Heat,-0.0
89,Mobility,-0.0
89,Cooking,-0.0
89,Diesel,-0.0
89,FireWood,-0.0
89,Gas,-0.0
90,Power,-0.0
90,Heat,-0.0
90,Mobility,-0.0
90,Cooking,-0.0
90,Diesel,-0.0
90,FireWood,-0.0
90,Gas,-0.0
91,Power,-0.0
91,Heat,-0.0
91,Mobility,-0.0
91,Cooking,-0.0
91,Diesel,-0.0
91,FireWood,-0.0
91,Gas,-0.0
92,Power,-0.0
92,Heat,-0.0
92,Mobility,-0.0
92,Cooking,-0.0
92,Diesel,-0.0
92,FireWood,-0.0
92,Gas,-0.0
93,Power,-0.0
93,Heat,-0.0
93,Mobility,-0.0
93,Cooking,-0.0
93,Diesel,-0.0
93,FireWood,-0.0
93,Gas,-0.0
94,Power,-0.0
94,Heat,-0.0
94,Mobility,-0.0
94,Cooking,-0.0
94,Diesel,-0.0
94,FireWood,-0.0
94,Gas,-0.0
95,Power,-0.0
95,Heat,-0.0
95,Mobility,-0.0
95,Cooking,-0.0
95,Diesel,-0.0
95,FireWood,-0.0
95,Gas,-0.0
96,Power,-0.0
96,Heat,-0.0
96,Mobility,-0.0
96,Cooking,-0.0
96,Diesel,-0.0
96,FireWood,-0.0
96,Gas,-0.0
97,Power,-0.0
97,Heat,-0.0
97,Mobility,-0.0
97,Cooking,-0.0
97,Diesel,-0.0
97,FireWood,-0.0
97,Gas,-0.0
98,Power,-0.0
98,Heat,-0.0
98,Mobility,-0.0
98,Cooking,-0.0
98,Diesel,-0.0
98,FireWood,-0.0
98,Gas,-0.0
99,Power,-0.0
99,Heat,-0.0
99,Mobility,-0.0
99,Cooking,-0.0
99,Diesel,-0.0
99,FireWood,-0.0
99,Gas,-0.0
100,Power,-0.0
100,Heat,-0.0
100,Mobility,-0.0
100,Cooking,-0.0
100,Diesel,-0.0
100,FireWood,-0.0
100,Gas,-0.0
101,Power,-0.0
101,Heat,-0.0
101,Mobility,-0.0
101,Cooking,-0.0
101,Diesel,-0.0
101,FireWood,-0.0
101,Gas,-0.0
102,Power,-0.0
102,Heat,-0.0
102,Mobility,-0.0
102,Cooking,-0.0
102,Diesel,-0.0
102,FireWood,-0.0
102,Gas,-0.0
103,Power,-0.0
103,Heat,-0.0
103,Mobility,-0.0
103,Cooking,-0.0
103,Diesel,-0.0
103,FireWood,-0.0
103,Gas,-0.0
104,Power,-0.0
104,Heat,-0.0
104,Mobility,-0.0
104,Cooking,-0.0
104,Diesel,-0.0
104,FireWood,-0.0
104,Gas,-0.0
105,Power,-0.0
105,Heat,-0.0
105,Mobility,-0.0
105,Cooking,-0.0
105,Diesel,-0.0
105,FireWood,-0.0
105,Gas,-0.0
106,Power,-0.0
106,Heat,-0.0
106,Mobility,-0.0
106,Cooking,-0.0
106,Diesel,-0.0
106,FireWood,-0.0
106,Gas,-0.0
107,Power,-0.0
107,Heat,-0.0
107,Mobility,-0.0
107,Cooking,-0.0
107,Diesel,-0.0
107,FireWood,-0.0
107,Gas,-0.0
108,Power,-0.0
108,Heat,-0.0
108,Mobility,-0.0
108,Cooking,-0.0
108,Diesel,-0.0
108,FireWood,-0.0
108,Gas,-0.0
109,Power,-0.0
109,Heat,-0.0
109,Mobility,-0.0
109,Cooking,-0.0
109,Diesel,-0.0
109,FireWood,-0.0
109,Gas,-0.0
110,Power,-0.0
110,Heat,-0.0
110,Mobility,-0.0
110,Cooking,-0.0
110,Diesel,-0.0
110,FireWood,-0.0
110,Gas,-0.0
111,Power,-0.0
111,Heat,-0.0
111,Mobility,-0.0
111,Cooking,-0.0
111,Diesel,-0.0
111,FireWood,-0.0
111,Gas,-0.0
112,Power,-0.0
112,Heat,-0.0
112,Mobility,-0.0
112,Cooking,-0.0
112,Diesel,-0.0
112,FireWood,-0.0
112,Gas,-0.0
113,Power,-0.0
113,Heat,-0.0
113,Mobility,-0.0
113,Cooking,-0.0
113,Diesel,-0.0
113,FireWood,-0.0
113,Gas,-0.0
114,Power,-0.0
114,Heat,-0.0
114,Mobility,-0.0
114,Cooking,-0.0
114,Diesel,-0.0
114,FireWood,-0.0
114,Gas,-0.0
115,Power,-0.0
115,Heat,-0.0
115,Mobility,-0.0
115,Cooking,-0.0
115,Diesel,-0.0
115,FireWood,-0.0
115,Gas,-0.0
116,Power,-0.0
116,Heat,-0.0
116,Mobility,-0.0
116,Cooking,-0.0
116,Diesel,-0.0
116,FireWood,-0.0
116,Gas,-0.0
117,Power,-0.0
117,Heat,-0.0
117,Mobility,-0.0
117,Cooking,-0.0
117,Diesel,-0.0
117,FireWood,-0.0
117,Gas,-0.0
118,Power,-0.0
118,Heat,-0.0
118,Mobility,-0.0
118,Cooking,-0.0
118,Diesel,-0.0
118,FireWood,-0.0
118,Gas,-0.0
119,Power,-0.0
119,Heat,-0.0
119,Mobility,-0.0
119,Cooking,-0.0
119,Diesel,-0.0
119,FireWood,-0.0
119,Gas,-0.0
120,Power,-0.0
120,Heat,-0.0
120,Mobility,-0.0
120,Cooking,-0.0
120,Diesel,-0.0
120,FireWood,-0.0
120,Gas,-0.0
121,Power,-0.0
121,Heat,-0.0
121,Mobility,-0.0
121,Cooking,-0.0
121,Diesel,-0.0
121,FireWood,-0.0
121,Gas,-0.0
122,Power,-0.0
122,Heat,-0.0
122,Mobility,-0.0
122,Cooking,-0.0
122,Diesel,-0.0
122,FireWood,-0.0
122,Gas,-0.0
123,Power,-0.0
123,Heat,-0.0
123,Mobility,-0.0
123,Cooking,-0.0
123,Diesel,-0.0
123,FireWood,-0.0
123,Gas,-0.0
124,Power,-0.0
124,Heat,-0.0
124,Mobility,-0.0
124,Cooking,-0.0
124,Diesel,-0.0
124,FireWood,-0.0
124,Gas,-0.0
125,Power,-0.0
125,Heat,-0.0
125,Mobility,-0.0
125,Cooking,-0.0
125,Diesel,-0.0
125,FireWood,-0.0
125,Gas,-0.0
126,Power,-0.0
126,Heat,-0.0
126,Mobility,-0.0
126,Cooking,-0.0
126,Diesel,-0.0
126,FireWood,-0.0
126,Gas,-0.0
127,Power,-0.0
127,Heat,-0.0
127,Mobility,-0.0
127,Cooking,-0.0
127,Diesel,-0.0
127,FireWood,-0.0
127,Gas,-0.0
128,Power,-0.0
128,Heat,-0.0
128,Mobility,-0.0
128,Cooking,-0.0
128,Diesel,-0.0
128,FireWood,-0.0
128,Gas,-0.0
129,Power,-0.0
129,Heat,-0.0
129,Mobility,-0.0
129,Cooking,-0.0
129,Diesel,-0.0
129,FireWood,-0.0
129,Gas,-0.0
130,Power,-0.0
130,Heat,-0.0
130,Mobility,-0.0
130,Cooking,-0.0
130,Diesel,-0.0
