Hour,Technology,Value
115,WindOnshore,
115,HydroPower,
115,DieselGenerator,
115,DieselImports,
116,SolarPV,
116,WindOnshore,
116,HydroPower,
116,DieselGenerator,
116,DieselImports,
117,SolarPV,
117,WindOnshore,
117,HydroPower,
117,DieselGenerator,
117,DieselImports,
118,SolarPV,
118,WindOnshore,
118,HydroPower,
118,DieselGenerator,
118,DieselImports,
119,SolarPV,
119,WindOnshore,
119,HydroPower,
119,DieselGenerator,
119,DieselImports,
120,SolarPV,
120,WindOnshore,
120,HydroPower,
120,DieselGenerator,
120,DieselImports,
121,SolarPV,
121,WindOnshore,
121,HydroPower,
121,DieselGenerator,
121,DieselImports,
122,SolarPV,
122,WindOnshore,
122,HydroPower,
122,DieselGenerator,
122,DieselImports,
123,SolarPV,
123,WindOnshore,
123,HydroPower,
123,DieselGenerator,
123,DieselImports,
124,SolarPV,
124,WindOnshore,
124,HydroPower,
124,DieselGenerator,
124,DieselImports,
125,SolarPV,
125,WindOnshore,
125,HydroPower,
125,DieselGenerator,
125,DieselImports,
126,SolarPV,
126,WindOnshore,
126,HydroPower,
126,DieselGenerator,
126,DieselImports,
127,SolarPV,
127,WindOnshore,
127,HydroPower,
127,DieselGenerator,
127,DieselImports,
128,SolarPV,
128,WindOnshore,
128,HydroPower,
128,DieselGenerator,
128,DieselImports,
129,SolarPV,
129,WindOnshore,
129,HydroPower,
129,DieselGenerator,
129,DieselImports,
130,SolarPV,
130,WindOnshore,
130,HydroPower,
130,DieselGenerator,
130,DieselImports,
131,SolarPV,
131,WindOnshore,
131,HydroPower,
131,DieselGenerator,
131,DieselImports,
132,SolarPV,
132,WindOnshore,
132,HydroPower,
132,DieselGenerator,
132,DieselImports,
133,SolarPV,
133,WindOnshore,
133,HydroPower,
133,DieselGenerator,
133,DieselImports,
134,SolarPV,
134,WindOnshore,
134,HydroPower,
134,DieselGenerator,
134,DieselImports,
135,SolarPV,
135,WindOnshore,
135,HydroPower,
135,DieselGenerator,
135,DieselImports,
136,SolarPV,
136,WindOnshore,
136,HydroPower,
136,DieselGenerator,
136,DieselImports,
137,SolarPV,
137,WindOnshore,
137,HydroPower,
137,DieselGenerator,
137,DieselImports,
138,SolarPV,
138,WindOnshore,
138,HydroPower,
138,DieselGenerator,
138,DieselImports,
139,SolarPV,
139,WindOnshore,
139,HydroPower,
139,DieselGenerator,
139,DieselImports,
140,SolarPV,
140,WindOnshore,
140,HydroPower,
140,DieselGenerator,
140,DieselImports,
141,SolarPV,
141,WindOnshore,
141,HydroPower,
141,DieselGenerator,
141,DieselImports,
142,SolarPV,
142,WindOnshore,
142,HydroPower,
142,DieselGenerator,
142,DieselImports,
143,SolarPV,
143,WindOnshore,
143,HydroPower,
143,DieselGenerator,
143,DieselImports,
144,SolarPV,
144,WindOnshore,
144,HydroPower,
144,DieselGenerator,
144,DieselImports,
145,SolarPV,
145,WindOnshore,
145,HydroPower,
145,DieselGenerator,
145,DieselImports,
146,SolarPV,
146,WindOnshore,
146,HydroPower,
146,DieselGenerator,
146,DieselImports,
147,SolarPV,
147,WindOnshore,
147,HydroPower,
147,DieselGenerator,
147,DieselImports,
148,SolarPV,
148,WindOnshore,
148,HydroPower,
148,DieselGenerator,
148,DieselImports,
149,SolarPV,
149,WindOnshore,
149,HydroPower,
149,DieselGenerator,
149,DieselImports,
150,SolarPV,
150,WindOnshore,
150,HydroPower,
150,DieselGenerator,
150,DieselImports,
151,SolarPV,
151,WindOnshore,
151,HydroPower,
151,DieselGenerator,
151,DieselImports,
152,SolarPV,
152,WindOnshore,
152,HydroPower,
152,DieselGenerator,
152,DieselImports,
153,SolarPV,
153,WindOnshore,
153,HydroPower,
153,DieselGenerator,
153,DieselImports,
154,SolarPV,
154,WindOnshore,
154,HydroPower,
154,DieselGenerator,
154,DieselImports,
155,SolarPV,
155,WindOnshore,
155,HydroPower,
155,DieselGenerator,
155,DieselImports,
156,SolarPV,
156,WindOnshore,
156,HydroPower,
156,DieselGenerator,
156,DieselImports,
157,SolarPV,
157,WindOnshore,
157,HydroPower,
157,DieselGenerator,
157,DieselImports,
158,SolarPV,
158,WindOnshore,
158,HydroPower,
158,DieselGenerator,
158,DieselImports,
159,SolarPV,
159,WindOnshore,
159,HydroPower,
159,DieselGenerator,
159,DieselImports,
160,SolarPV,
160,WindOnshore,
160,HydroPower,
160,DieselGenerator,
160,DieselImports,
161,SolarPV,
161,WindOnshore,
161,HydroPower,
161,DieselGenerator,
161,DieselImports,
162,SolarPV,
162,WindOnshore,
162,HydroPower,
162,DieselGenerator,
162,DieselImports,
163,SolarPV,
163,WindOnshore,
163,HydroPower,
163,DieselGenerator,
163,DieselImports,
164,SolarPV,
164,WindOnshore,
164,HydroPower,
164,DieselGenerator,
164,DieselImports,
165,SolarPV,
165,WindOnshore,
165,HydroPower,
165,DieselGenerator,
165,DieselImports,
166,SolarPV,
166,WindOnshore,
166,HydroPower,
166,DieselGenerator,
166,DieselImports,
167,SolarPV,
167,WindOnshore,
167,HydroPower,
167,DieselGenerator,
167,DieselImports,
168,SolarPV,
168,WindOnshore,
168,HydroPower,
168,DieselGenerator,
168,DieselImports,
169,SolarPV,
169,WindOnshore,
169,HydroPower,
169,DieselGenerator,
169,DieselImports,
170,SolarPV,
170,WindOnshore,
170,HydroPower,
170,DieselGenerator,
170,DieselImports,
171,SolarPV,
171,WindOnshore,
171,HydroPower,
171,DieselGenerator,
171,DieselImports,
172,SolarPV,
172,WindOnshore,
172,HydroPower,
172,DieselGenerator,
172,DieselImports,
173,SolarPV,
173,WindOnshore,
173,HydroPower,
173,DieselGenerator,
173,DieselImports,
174,SolarPV,
174,WindOnshore,
174,HydroPower,
174,DieselGenerator,
174,DieselImports,
175,SolarPV,
175,WindOnshore,
175,HydroPower,
175,DieselGenerator,
175,DieselImports,
176,SolarPV,
176,WindOnshore,
176,HydroPower,
176,DieselGenerator,
176,DieselImports,
177,SolarPV,
177,WindOnshore,
177,HydroPower,
177,DieselGenerator,
177,DieselImports,
178,SolarPV,
178,WindOnshore,
178,HydroPower,
178,DieselGenerator,
178,DieselImports,
179,SolarPV,
179,WindOnshore,
179,HydroPower,
179,DieselGenerator,
179,DieselImports,
180,SolarPV,
180,WindOnshore,
180,HydroPower,
180,DieselGenerator,
180,DieselImports,
181,SolarPV,
181,WindOnshore,
181,HydroPower,
181,DieselGenerator,
181,DieselImports,
182,SolarPV,
182,WindOnshore,
182,HydroPower,
182,DieselGenerator,
182,DieselImports,
183,SolarPV,
183,WindOnshore,
183,HydroPower,
183,DieselGenerator,
183,DieselImports,
184,SolarPV,
184,WindOnshore,
184,HydroPower,
184,DieselGenerator,
184,DieselImports,
185,SolarPV,
185,WindOnshore,
185,HydroPower,
185,DieselGenerator,
185,DieselImports,
186,SolarPV,
186,WindOnshore,
186,HydroPower,
186,DieselGenerator,
186,DieselImports,
187,SolarPV,
187,WindOnshore,
187,HydroPower,
187,DieselGenerator,
187,DieselImports,
188,SolarPV,
188,WindOnshore,
188,HydroPower,
188,DieselGenerator,
188,DieselImports,
189,SolarPV,
189,WindOnshore,
189,HydroPower,
189,DieselGenerator,
189,DieselImports,
190,SolarPV,
190,WindOnshore,
190,HydroPower,
190,DieselGenerator,
190,DieselImports,
191,SolarPV,
191,WindOnshore,
191,HydroPower,
191,DieselGenerator,
191,DieselImports,
192,SolarPV,
192,WindOnshore,
192,HydroPower,
192,DieselGenerator,
192,DieselImports,
193,SolarPV,
193,WindOnshore,
193,HydroPower,
193,DieselGenerator,
193,DieselImports,
194,SolarPV,
194,WindOnshore,
194,HydroPower,
194,DieselGenerator,
194,DieselImports,
195,SolarPV,
195,WindOnshore,
195,HydroPower,
195,DieselGenerator,
195,DieselImports,
196,SolarPV,
196,WindOnshore,
196,HydroPower,
196,DieselGenerator,
196,DieselImports,
197,SolarPV,
197,WindOnshore,
197,HydroPower,
197,DieselGenerator,
197,DieselImports,
198,SolarPV,
198,WindOnshore,
198,HydroPower,
198,DieselGenerator,
198,DieselImports,
199,SolarPV,
199,WindOnshore,
199,HydroPower,
199,DieselGenerator,
199,DieselImports,
200,SolarPV,
200,WindOnshore,
200,HydroPower,
200,DieselGenerator,
200,DieselImports,
201,SolarPV,
201,WindOnshore,
201,HydroPower,
201,DieselGenerator,
201,DieselImports,
202,SolarPV,
202,WindOnshore,
202,HydroPower,
202,DieselGenerator,
202,DieselImports,
203,SolarPV,
203,WindOnshore,
203,HydroPower,
203,DieselGenerator,
203,DieselImports,
204,SolarPV,
204,WindOnshore,
204,HydroPower,
204,DieselGenerator,
204,DieselImports,
205,SolarPV,
