Year,Hour,Fuel,Value
2030,58,Heat,-0.0
2030,58,Mobility,-0.0
2030,58,Cooking,-0.0
2030,58,Diesel,-0.0
2030,58,FireWood,-0.0
2030,59,Power,-0.0
2030,59,Heat,-0.0
2030,59,Mobility,-0.0
2030,59,Cooking,-0.0
2030,59,Diesel,-0.0
2030,59,FireWood,-0.0
2030,60,Power,-4.440892098500626e-15
2030,60,Heat,-0.0
2030,60,Mobility,-0.0
2030,60,Cooking,-0.0
2030,60,Diesel,-0.0
2030,60,FireWood,-0.0
2030,61,Power,-0.0
2030,61,Heat,-0.0
2030,61,Mobility,-0.0
2030,61,Cooking,-0.0
2030,61,Diesel,-0.0
2030,61,FireWood,-0.0
2030,62,Power,-5.329070518200751e-15
2030,62,Heat,-0.0
2030,62,Mobility,-0.0
2030,62,Cooking,-0.0
2030,62,Diesel,-0.0
2030,62,FireWood,-0.0
2030,63,Power,-0.0
2030,63,Heat,-0.0
2030,63,Mobility,-0.0
2030,63,Cooking,-0.0
2030,63,Diesel,-0.0
2030,63,FireWood,-0.0
2030,64,Power,-0.0
2030,64,Heat,-0.0
2030,64,Mobility,-0.0
2030,64,Cooking,-4.440892098500626e-16
2030,64,Diesel,-0.0
2030,64,FireWood,-0.0
2030,65,Power,-0.0
2030,65,Heat,-0.0
2030,65,Mobility,-0.0
2030,65,Cooking,-0.0
2030,65,Diesel,-0.0
2030,65,FireWood,-0.0
2030,66,Power,-0.0
2030,66,Heat,-0.0
2030,66,Mobility,-0.0
2030,66,Cooking,-0.0
2030,66,Diesel,-0.0
2030,66,FireWood,-0.0
2030,67,Power,-0.0
2030,67,Heat,-0.0
2030,67,Mobility,-0.0
2030,67,Cooking,-4.440892098500626e-16
2030,67,Diesel,-0.0
2030,67,FireWood,-0.0
2030,68,Power,-0.0
2030,68,Heat,-0.0
2030,68,Mobility,-0.0
2030,68,Cooking,-0.0
2030,68,Diesel,-0.0
2030,68,FireWood,-0.0
2030,69,Power,-0.0
2030,69,Heat,-0.0
2030,69,Mobility,-0.0
2030,69,Cooking,-0.0
