Hour,Technology,Value
65,DieselGenerator,
65,DieselImport,
65,Forest,
65,GasImport,
65,GasStove,
65,ICEVehicle,
65,WoodBurner,
66,SolarPV,
66,WindOnshore,
66,HydroPower,
66,DieselGenerator,
66,DieselImport,
66,Forest,
66,GasImport,
66,GasStove,
66,ICEVehicle,
66,WoodBurner,
67,SolarPV,
67,WindOnshore,
67,HydroPower,
67,DieselGenerator,
67,DieselImport,
67,Forest,
67,GasImport,
67,GasStove,
67,ICEVehicle,
67,WoodBurner,
68,SolarPV,
68,WindOnshore,
68,HydroPower,
68,DieselGenerator,
68,DieselImport,
68,Forest,
68,GasImport,
68,GasStove,
68,ICEVehicle,
68,WoodBurner,
69,SolarPV,
69,WindOnshore,
69,HydroPower,
69,DieselGenerator,
69,DieselImport,
69,Forest,
69,GasImport,
69,GasStove,
69,ICEVehicle,
69,WoodBurner,
70,SolarPV,
70,WindOnshore,
70,HydroPower,
70,DieselGenerator,
70,DieselImport,
70,Forest,
70,GasImport,
70,GasStove,
70,ICEVehicle,
70,WoodBurner,
71,SolarPV,
71,WindOnshore,
71,HydroPower,
71,DieselGenerator,
71,DieselImport,
71,Forest,
71,GasImport,
71,GasStove,
71,ICEVehicle,
71,WoodBurner,
72,SolarPV,
72,WindOnshore,
72,HydroPower,
72,DieselGenerator,
72,DieselImport,
72,Forest,
72,GasImport,
72,GasStove,
72,ICEVehicle,
72,WoodBurner,
73,SolarPV,
73,WindOnshore,
73,HydroPower,
73,DieselGenerator,
73,DieselImport,
73,Forest,
73,GasImport,
73,GasStove,
73,ICEVehicle,
73,WoodBurner,
74,SolarPV,
74,WindOnshore,
74,HydroPower,
74,DieselGenerator,
74,DieselImport,
74,Forest,
74,GasImport,
74,GasStove,
74,ICEVehicle,
74,WoodBurner,
75,SolarPV,
75,WindOnshore,
75,HydroPower,
75,DieselGenerator,
75,DieselImport,
75,Forest,
75,GasImport,
75,GasStove,
75,ICEVehicle,
75,WoodBurner,
76,SolarPV,
76,WindOnshore,
76,HydroPower,
76,DieselGenerator,
76,DieselImport,
76,Forest,
76,GasImport,
76,GasStove,
76,ICEVehicle,
76,WoodBurner,
77,SolarPV,
77,WindOnshore,
77,HydroPower,
77,DieselGenerator,
77,DieselImport,
77,Forest,
77,GasImport,
77,GasStove,
77,ICEVehicle,
77,WoodBurner,
78,SolarPV,
78,WindOnshore,
78,HydroPower,
78,DieselGenerator,
78,DieselImport,
78,Forest,
78,GasImport,
78,GasStove,
78,ICEVehicle,
78,WoodBurner,
79,SolarPV,
79,WindOnshore,
79,HydroPower,
79,DieselGenerator,
79,DieselImport,
79,Forest,
79,GasImport,
79,GasStove,
79,ICEVehicle,
79,WoodBurner,
80,SolarPV,
80,WindOnshore,
80,HydroPower,
80,DieselGenerator,
80,DieselImport,
80,Forest,
80,GasImport,
80,GasStove,
80,ICEVehicle,
80,WoodBurner,
81,SolarPV,
81,WindOnshore,
81,HydroPower,
81,DieselGenerator,
81,DieselImport,
81,Forest,
81,GasImport,
81,GasStove,
81,ICEVehicle,
81,WoodBurner,
82,SolarPV,
82,WindOnshore,
82,HydroPower,
82,DieselGenerator,
82,DieselImport,
82,Forest,
82,GasImport,
82,GasStove,
82,ICEVehicle,
82,WoodBurner,
83,SolarPV,
83,WindOnshore,
83,HydroPower,
83,DieselGenerator,
83,DieselImport,
83,Forest,
83,GasImport,
83,GasStove,
83,ICEVehicle,
83,WoodBurner,
84,SolarPV,
84,WindOnshore,
84,HydroPower,
84,DieselGenerator,
84,DieselImport,
84,Forest,
84,GasImport,
84,GasStove,
84,ICEVehicle,
84,WoodBurner,
85,SolarPV,
85,WindOnshore,
85,HydroPower,
85,DieselGenerator,
85,DieselImport,
85,Forest,
85,GasImport,
85,GasStove,
85,ICEVehicle,
85,WoodBurner,
86,SolarPV,
86,WindOnshore,
86,HydroPower,
86,DieselGenerator,
86,DieselImport,
86,Forest,
86,GasImport,
86,GasStove,
86,ICEVehicle,
86,WoodBurner,
87,SolarPV,
87,WindOnshore,
87,HydroPower,
87,DieselGenerator,
87,DieselImport,
87,Forest,
87,GasImport,
87,GasStove,
87,ICEVehicle,
87,WoodBurner,
88,SolarPV,
88,WindOnshore,
88,HydroPower,
88,DieselGenerator,
88,DieselImport,
88,Forest,
88,GasImport,
88,GasStove,
88,ICEVehicle,
88,WoodBurner,
89,SolarPV,
89,WindOnshore,
89,HydroPower,
89,DieselGenerator,
89,DieselImport,
89,Forest,
89,GasImport,
89,GasStove,
89,ICEVehicle,
89,WoodBurner,
90,SolarPV,
90,WindOnshore,
90,HydroPower,
90,DieselGenerator,
90,DieselImport,
90,Forest,
90,GasImport,
90,GasStove,
90,ICEVehicle,
90,WoodBurner,
91,SolarPV,
91,WindOnshore,
91,HydroPower,
91,DieselGenerator,
91,DieselImport,
91,Forest,
91,GasImport,
91,GasStove,
91,ICEVehicle,
91,WoodBurner,
92,SolarPV,
92,WindOnshore,
92,HydroPower,
92,DieselGenerator,
92,DieselImport,
92,Forest,
92,GasImport,
92,GasStove,
92,ICEVehicle,
92,WoodBurner,
93,SolarPV,
93,WindOnshore,
93,HydroPower,
93,DieselGenerator,
93,DieselImport,
93,Forest,
93,GasImport,
93,GasStove,
93,ICEVehicle,
93,WoodBurner,
94,SolarPV,
94,WindOnshore,
94,HydroPower,
94,DieselGenerator,
94,DieselImport,
94,Forest,
94,GasImport,
94,GasStove,
94,ICEVehicle,
94,WoodBurner,
95,SolarPV,
95,WindOnshore,
95,HydroPower,
95,DieselGenerator,
95,DieselImport,
95,Forest,
95,GasImport,
95,GasStove,
95,ICEVehicle,
95,WoodBurner,
96,SolarPV,
96,WindOnshore,
96,HydroPower,
96,DieselGenerator,
96,DieselImport,
96,Forest,
96,GasImport,
96,GasStove,
96,ICEVehicle,
96,WoodBurner,
97,SolarPV,
