Hour,Storage,Fuel,Value
29,LeadAcidBattery,Diesel,0.0
29,LeadAcidBattery,FireWood,0.0
29,LeadAcidBattery,Gas,0.0
30,LeadAcidBattery,Power,285.04791488024006
30,LeadAcidBattery,Heat,0.0
30,LeadAcidBattery,Mobility,0.0
30,LeadAcidBattery,Cooking,0.0
30,LeadAcidBattery,Diesel,0.0
30,LeadAcidBattery,FireWood,0.0
30,LeadAcidBattery,Gas,0.0
31,LeadAcidBattery,Power,288.00958240024005
31,LeadAcidBattery,Heat,0.0
31,LeadAcidBattery,Mobility,0.0
31,LeadAcidBattery,Cooking,0.0
31,LeadAcidBattery,Diesel,0.0
31,LeadAcidBattery,FireWood,0.0
31,LeadAcidBattery,Gas,0.0
32,LeadAcidBattery,Power,288.52630203024006
32,LeadAcidBattery,Heat,0.0
32,LeadAcidBattery,Mobility,0.0
32,LeadAcidBattery,Cooking,0.0
32,LeadAcidBattery,Diesel,0.0
32,LeadAcidBattery,FireWood,0.0
32,LeadAcidBattery,Gas,0.0
33,LeadAcidBattery,Power,288.6280087447201
33,LeadAcidBattery,Heat,0.0
33,LeadAcidBattery,Mobility,0.0
33,LeadAcidBattery,Cooking,0.0
33,LeadAcidBattery,Diesel,0.0
33,LeadAcidBattery,FireWood,0.0
33,LeadAcidBattery,Gas,0.0
34,LeadAcidBattery,Power,288.6280087447201
34,LeadAcidBattery,Heat,0.0
34,LeadAcidBattery,Mobility,0.0
34,LeadAcidBattery,Cooking,0.0
34,LeadAcidBattery,Diesel,0.0
34,LeadAcidBattery,FireWood,0.0
34,LeadAcidBattery,Gas,0.0
35,LeadAcidBattery,Power,288.6280087447201
35,LeadAcidBattery,Heat,0.0
35,LeadAcidBattery,Mobility,0.0
35,LeadAcidBattery,Cooking,0.0
35,LeadAcidBattery,Diesel,0.0
35,LeadAcidBattery,FireWood,0.0
35,LeadAcidBattery,Gas,0.0
36,LeadAcidBattery,Power,288.6280087447201
36,LeadAcidBattery,Heat,0.0
36,LeadAcidBattery,Mobility,0.0
36,LeadAcidBattery,Cooking,0.0
36,LeadAcidBattery,Diesel,0.0
36,LeadAcidBattery,FireWood,0.0
36,LeadAcidBattery,Gas,0.0
37,LeadAcidBattery,Power,275.96174023957724
37,LeadAcidBattery,Heat,0.0
37,LeadAcidBattery,Mobility,0.0
37,LeadAcidBattery,Cooking,0.0
37,LeadAcidBattery,Diesel,0.0
37,LeadAcidBattery,FireWood,0.0
37,LeadAcidBattery,Gas,0.0
38,LeadAcidBattery,Power,275.96174023957724
38,LeadAcidBattery,Heat,0.0
38,LeadAcidBattery,Mobility,0.0
38,LeadAcidBattery,Cooking,0.0
38,LeadAcidBattery,Diesel,0.0
