Hour,Fuel,Value
81,Gas,-999982.61316
82,Power,-0.0
82,Heat,-0.0
82,Mobility,-0.0
82,Cooking,-0.0
82,Diesel,-999986.09601
82,FireWood,-999861.32703
82,Gas,-999983.52354
83,Power,-0.0
83,Heat,-0.0
83,Mobility,-0.0
83,Cooking,-0.0
83,Diesel,-999966.64903
83,FireWood,-999909.42078752
83,Gas,-999993.53772
84,Power,-0.0
84,Heat,-0.0
84,Mobility,-0.0
84,Cooking,-0.0
84,Diesel,-999993.13455
84,FireWood,-999907.30980198
84,Gas,-999983.52354
85,Power,-0.0
85,Heat,-0.0
85,Mobility,-0.0
85,Cooking,-0.0
85,Diesel,-999991.96146
85,FireWood,-999912.35781088
85,Gas,-999983.52354
86,Power,-0.0
86,Heat,-0.0
86,Mobility,-0.0
86,Cooking,-0.0
86,Diesel,-999985.46583
86,FireWood,-999913.27563068
86,Gas,-999983.52354
87,Power,-0.0
87,Heat,-0.0
87,Mobility,-0.0
87,Cooking,-0.0
87,Diesel,-999987.7143700001
87,FireWood,-999910.98108118
87,Gas,-999989.8962
88,Power,-0.0
88,Heat,-0.0
88,Mobility,-0.0
88,Cooking,-0.0
88,Diesel,-999980.3137800001
88,FireWood,-999820.66761286
88,Gas,-999994.4481
89,Power,-0.0
89,Heat,-0.0
89,Mobility,-0.0
89,Cooking,-0.0
89,Diesel,-999975.5382
89,FireWood,-999817.08811564
89,Gas,-999996.26886
90,Power,-0.0
90,Heat,-0.0
90,Mobility,-0.0
90,Cooking,-0.0
90,Diesel,-999962.9138
90,FireWood,-999823.87998216
90,Gas,-999985.3443
91,Power,-0.0
91,Heat,-0.0
91,Mobility,-0.0
91,Cooking,-0.0
91,Diesel,-999987.2691
91,FireWood,-999863.52979752
91,Gas,-999971.6886
92,Power,-0.0
92,Heat,-0.0
92,Mobility,-0.0
92,Cooking,-0.0
92,Diesel,-999957.54508
92,FireWood,-999858.29822466
92,Gas,-999971.6886
93,Power,-0.0
93,Heat,-0.0
93,Mobility,-0.0
93,Cooking,-0.0
93,Diesel,-999986.09601
93,FireWood,-999863.25445158
93,Gas,-999973.50936
94,Power,-0.0
94,Heat,-0.0
94,Mobility,-0.0
94,Cooking,-0.0
94,Diesel,-999980.23056
94,FireWood,-999867.7517686
94,Gas,-999987.16506
95,Power,-0.0
95,Heat,-0.0
95,Mobility,-0.0
95,Cooking,-0.0
95,Diesel,-999971.93102
95,FireWood,-999912.17424692
95,Gas,-999993.53772
96,Power,-0.0
96,Heat,-0.0
96,Mobility,-0.0
96,Cooking,-0.0
96,Diesel,-999983.54996
96,FireWood,-999910.33860732
96,Gas,-999999.0
97,Power,-0.0
97,Heat,-0.0
97,Mobility,-0.0
97,Cooking,-0.0
97,Diesel,-999993.36404
97,FireWood,-999908.1358398
97,Gas,-999999.0
98,Power,-0.0
98,Heat,-0.0
98,Mobility,-0.0
98,Cooking,-0.0
98,Diesel,-999997.82691
98,FireWood,-999904.55634258
98,Gas,-999999.0
99,Power,-0.0
99,Heat,-0.0
99,Mobility,-0.0
99,Cooking,-0.0
99,Diesel,-999993.13455
99,FireWood,-999904.09743268
99,Gas,-999999.0
100,Power,-0.0
100,Heat,-0.0
100,Mobility,-0.0
100,Cooking,-0.0
100,Diesel,-999997.82691
100,FireWood,-999904.64812456
100,Gas,-999999.0
101,Power,-0.0
101,Heat,-0.0
101,Mobility,-0.0
101,Cooking,-0.0
101,Diesel,-999987.2691
101,FireWood,-999820.85117682
101,Gas,-999999.0
102,Power,-0.0
102,Heat,-0.0
102,Mobility,-0.0
102,Cooking,-0.0
102,Diesel,-999982.57674
102,FireWood,-999819.19910118
102,Gas,-999996.26886
103,Power,-0.0
103,Heat,-0.0
103,Mobility,-0.0
103,Cooking,-0.0
103,Diesel,-999984.92292
103,FireWood,-999818.00593544
103,Gas,-999993.53772
104,Power,-0.0
104,Heat,-0.0
104,Mobility,-0.0
104,Cooking,-0.0
104,Diesel,-999992.3829554999
104,FireWood,-999866.19147494
104,Gas,-999987.16506
105,Power,-0.0
105,Heat,-0.0
105,Mobility,-0.0
105,Cooking,-0.0
105,Diesel,-999976.66365
105,FireWood,-999856.2790211
105,Gas,-999984.43392
106,Power,-0.0
106,Heat,-0.0
106,Mobility,-0.0
106,Cooking,-0.0
106,Diesel,-999964.30671
106,FireWood,-999857.38040486
106,Gas,-999984.43392
107,Power,-0.0
107,Heat,-0.0
107,Mobility,-0.0
