Hour,Technology,Value
139,WindOnshore,0.0
139,HydroPower,0.416
139,DieselGenerator,0.0
140,SolarPV,0.0
140,WindOnshore,0.0
140,HydroPower,0.416
140,DieselGenerator,0.0
141,SolarPV,0.0
141,WindOnshore,0.0
141,HydroPower,0.4225
141,DieselGenerator,0.0
142,SolarPV,0.0
142,WindOnshore,0.0
142,HydroPower,0.416
142,DieselGenerator,0.0
143,SolarPV,0.0
143,WindOnshore,0.0
143,HydroPower,0.442
143,DieselGenerator,0.0
144,SolarPV,0.0
144,WindOnshore,0.0
144,HydroPower,0.5005
144,DieselGenerator,0.0
145,SolarPV,0.0
145,WindOnshore,0.0
145,HydroPower,0.6174999999999999
145,DieselGenerator,0.0
146,SolarPV,0.0
146,WindOnshore,0.0
146,HydroPower,0.65
146,DieselGenerator,0.0
147,SolarPV,0.0
147,WindOnshore,0.0
147,HydroPower,0.65
147,DieselGenerator,0.0
148,SolarPV,0.0
148,WindOnshore,0.0
148,HydroPower,0.65
148,DieselGenerator,0.0
149,SolarPV,0.0
149,WindOnshore,0.0
149,HydroPower,0.637
149,DieselGenerator,0.0
150,SolarPV,0.0
150,WindOnshore,0.0
150,HydroPower,0.624
150,DieselGenerator,0.0
151,SolarPV,0.0
151,WindOnshore,0.0
151,HydroPower,0.6044999999999999
151,DieselGenerator,0.0
152,SolarPV,0.0
152,WindOnshore,0.0
152,HydroPower,0.585
152,DieselGenerator,0.0
153,SolarPV,0.0
153,WindOnshore,0.0
153,HydroPower,0.572
153,DieselGenerator,0.0
154,SolarPV,0.0
154,WindOnshore,0.0
154,HydroPower,0.5655
154,DieselGenerator,0.0
155,SolarPV,0.0
155,WindOnshore,0.0
155,HydroPower,0.5525
155,DieselGenerator,0.0
156,SolarPV,0.0
156,WindOnshore,0.0
156,HydroPower,0.5459999999999999
156,DieselGenerator,0.0
157,SolarPV,0.0
157,WindOnshore,0.0
157,HydroPower,0.5459999999999999
157,DieselGenerator,0.0
158,SolarPV,0.0
158,WindOnshore,0.0
158,HydroPower,0.5395
158,DieselGenerator,0.0
159,SolarPV,0.0
159,WindOnshore,0.0
159,HydroPower,0.533
159,DieselGenerator,0.0
160,SolarPV,0.0
160,WindOnshore,0.0
160,HydroPower,0.533
160,DieselGenerator,0.0
161,SolarPV,0.0
161,WindOnshore,0.0
161,HydroPower,0.5265
161,DieselGenerator,0.0
162,SolarPV,0.0
162,WindOnshore,0.0
162,HydroPower,0.5265
162,DieselGenerator,0.0
163,SolarPV,0.0
163,WindOnshore,0.0
163,HydroPower,0.5265
163,DieselGenerator,0.0
164,SolarPV,0.0
164,WindOnshore,0.0
164,HydroPower,0.52
164,DieselGenerator,0.0
165,SolarPV,0.0
165,WindOnshore,0.0
165,HydroPower,0.52
165,DieselGenerator,0.0
166,SolarPV,0.0
166,WindOnshore,0.0
166,HydroPower,0.5135
166,DieselGenerator,0.0
167,SolarPV,0.0
167,WindOnshore,0.0
167,HydroPower,0.507
167,DieselGenerator,0.0
168,SolarPV,0.0
168,WindOnshore,0.0
168,HydroPower,0.507
168,DieselGenerator,0.0
169,SolarPV,0.0
169,WindOnshore,0.0
169,HydroPower,0.507
169,DieselGenerator,0.0
170,SolarPV,0.0
170,WindOnshore,0.0
170,HydroPower,0.5005
170,DieselGenerator,0.0
171,SolarPV,0.0
171,WindOnshore,0.0
171,HydroPower,0.494
171,DieselGenerator,0.0
172,SolarPV,0.0
172,WindOnshore,0.0
172,HydroPower,0.494
172,DieselGenerator,0.0
173,SolarPV,0.0
173,WindOnshore,0.0
173,HydroPower,0.4875
173,DieselGenerator,0.0
174,SolarPV,0.0
174,WindOnshore,0.0
174,HydroPower,0.4875
174,DieselGenerator,0.0
175,SolarPV,0.0
175,WindOnshore,0.0
175,HydroPower,0.481
175,DieselGenerator,0.0
176,SolarPV,0.0
176,WindOnshore,0.0
176,HydroPower,0.481
176,DieselGenerator,0.0
177,SolarPV,0.0
177,WindOnshore,0.0
177,HydroPower,0.4745
177,DieselGenerator,0.0
178,SolarPV,0.0
178,WindOnshore,0.0
178,HydroPower,0.4745
178,DieselGenerator,0.0
179,SolarPV,0.0
179,WindOnshore,0.0
179,HydroPower,0.44849999999999995
179,DieselGenerator,0.0
180,SolarPV,0.0
180,WindOnshore,0.0
180,HydroPower,0.3445
180,DieselGenerator,0.0
181,SolarPV,0.0
181,WindOnshore,0.0
181,HydroPower,0.46799999999999997
181,DieselGenerator,0.0
182,SolarPV,0.0
